,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Lecture Attendance (%),0.9814550830756107,-0.040203164282515066,0.07073380624027456,-0.06880931561676078,0.038412251235096284,-0.03838756669878969,-0.04517287350874054,-0.05848945450969137,-0.09464760592903895,-0.13462452193737676
Concentration (1-10),-0.04310141332981429,-0.011080871623493171,-0.03212427817017135,0.046511764238859006,-0.04645400146638245,-0.021563473685820896,0.9982711965489856,0.035290423024777015,0.035733973310488686,0.05687274196552003
Study Time (hrs/week),-0.09195464344781981,0.04919675616752463,-0.11539083707851777,-0.008731805045898967,-0.01510864190551548,-0.04313788191851838,0.03646546637029462,-0.0053488292548398,0.9908894771408026,0.022897578342020834
Parental Involvement (1-10),-0.03624516282379669,0.04094448701651563,0.04809440116032,-0.0014022307346243095,0.04174838407320657,0.9995142843261936,-0.021483353585597897,0.014960569575873012,-0.042059405554133567,-0.0396198273358922
"Extracurricular (1=Yes, 0=No)",0.0363977643678237,0.015596771397514085,-0.01808239409928716,0.060588960856753166,0.9998878069045359,0.04169988600496631,-0.0462354971101494,-0.015457826312946737,-0.014700469050813675,-0.020680477535536104
Sleep Quality (1-10),-0.06561534481193551,-0.011294875106776986,-0.028026172066171827,0.9972246963243286,0.06109360397803049,-0.0014301434575445164,0.04664740205188754,0.06660513464735157,-0.008495845114627715,0.00257369803639994
Tech Study Time (hrs/week),0.038004632826174965,-0.9995471832468034,-0.01400684129092344,0.011204703351165591,-0.01561655463646277,-0.040941874960146146,0.011052057596671746,-0.05284224451821208,-0.0479363663060351,0.045911758478272086
Classroom Behavior (1-10),-0.05560035441454005,0.05302365965564329,0.01989263980859977,0.06633992420786487,-0.015520102850020437,0.015001236831008027,0.03525345174594114,0.9985425872525411,-0.005221106228318843,0.02404421922344848
Social Media Usage (hrs/day),-0.13042644269609133,-0.047101529328338415,0.029307569445520452,0.0024888499573606257,-0.021107387436542564,-0.040656841878245406,0.05792850866498776,0.02443108344576919,0.022680644175819758,0.9916858216744089
Peer Influence (1-10),0.06818642371916439,0.014354237587949778,0.993097811179034,-0.028390433155380573,-0.018493809789614915,0.04898768519305367,-0.03256253378311787,0.020214069414982497,-0.11462858792601122,0.029083391164384752
